UNICODE,P,D,L,V,CICLO_ROCIADO ,STATUS
1.4.21.329,1,4,21,329,1,C
1.4.21.365A,1,4,21,365A,1,C
1.4.21.288,1,4,21,288,1,R
1.4.21.288A,1,4,21,288A,1,R
1.4.21.299,1,4,21,299,1,R
1.4.21.300,1,4,21,300,1,R
1.4.21.304B,1,4,21,304B,1,R
1.4.21.315,1,4,21,315,1,R
1.4.21.366A,1,4,21,366A,1,R
1.4.21.390,1,4,21,390,1,R
1.4.21.279A,1,4,21,279A,1,D
1.4.17.159,1,4,17,159,1,C
1.4.17.161,1,4,17,161,1,C
1.4.17.321,1,4,17,321,1,C
1.4.17.136,1,4,17,136,1,R
1.4.17.141,1,4,17,141,1,R
1.4.17.166,1,4,17,166,1,R
1.4.17.167,1,4,17,167,1,R
1.4.17.176,1,4,17,176,1,R
1.4.17.271,1,4,17,271,1,R
1.4.17.273,1,4,17,273,1,R
1.4.17.275,1,4,17,275,1,R
1.4.17.276,1,4,17,276,1,R
1.4.17.282,1,4,17,282,1,R
1.4.17.282A,1,4,17,282A,1,R
1.4.17.284A,1,4,17,284A,1,R
1.4.17.302B,1,4,17,302B,1,R
1.4.17.322,1,4,17,322,1,R
1.4.17.324A,1,4,17,324A,1,R
1.4.37.100,1,4,37,100,1,C
1.4.37.69,1,4,37,69,1,R
1.4.37.74,1,4,37,74,1,R
1.4.37.82A,1,4,37,82A,1,R
1.4.37.85,1,4,37,85,1,R
1.4.37.90,1,4,37,90,1,R
1.4.37.92A,1,4,37,92A,1,R
1.4.37.94,1,4,37,94,1,R
1.4.37.96,1,4,37,96,1,R
1.4.37.111,1,4,37,111,1,R
1.4.37.115,1,4,37,115,1,R
1.4.20.225,1,4,20,225,1,R
1.4.20.227,1,4,20,227,1,R
1.4.20.265,1,4,20,265,1,R
1.4.20.267,1,4,20,267,1,R
1.4.47.1118,1,4,47,1118,1,R
1.4.47.1119,1,4,47,1119,1,R
1.4.47.1127,1,4,47,1127,1,R
1.4.47.282,1,4,47,282,1,R
1.4.47.283,1,4,47,283,1,R
1.4.47.284,1,4,47,284,1,R
1.4.47.285,1,4,47,285,1,R
1.4.47.295,1,4,47,295,1,R
1.4.47.298A,1,4,47,298A,1,R
1.4.47.299A,1,4,47,299A,1,R
1.4.47.314,1,4,47,314,1,R
1.4.47.318,1,4,47,318,1,R
1.4.47.319,1,4,47,319,1,R
1.4.47.324,1,4,47,324,1,R
1.4.47.325,1,4,47,325,1,R
1.4.47.328,1,4,47,328,1,R
1.4.47.329,1,4,47,329,1,R
1.4.47.330,1,4,47,330,1,R
1.4.47.331,1,4,47,331,1,R
1.4.47.351,1,4,47,351,1,R
1.4.47.352,1,4,47,352,1,R
1.4.47.353,1,4,47,353,1,R
1.4.47.354,1,4,47,354,1,R
1.4.47.355,1,4,47,355,1,R
1.4.47.356,1,4,47,356,1,R
1.4.47.549F,1,4,47,549F,1,R
1.4.47.552,1,4,47,552,1,R
1.4.47.553,1,4,47,553,1,R
1.4.47.578,1,4,47,578,1,R
1.4.47.679,1,4,47,679,1,R
1.4.47.681,1,4,47,681,1,R
1.4.47.682,1,4,47,682,1,R
1.4.47.693,1,4,47,693,1,R
1.4.47.700,1,4,47,700,1,R
1.4.47.702,1,4,47,702,1,R
1.4.47.737,1,4,47,737,1,R
1.4.47.740,1,4,47,740,1,R
1.4.47.740C,1,4,47,740C,1,R
1.4.47.752,1,4,47,752,1,R
1.4.47.761,1,4,47,761,1,R
1.4.47.762,1,4,47,762,1,R
1.4.47.763,1,4,47,763,1,R
1.4.47.765,1,4,47,765,1,R
1.4.47.766,1,4,47,766,1,R
1.4.47.768,1,4,47,768,1,R
1.4.47.760A,1,4,47,760A,1,R
1.4.47.773,1,4,47,773,1,R
1.4.47.773A,1,4,47,773A,1,R
1.4.47.773B,1,4,47,773B,1,R
1.4.47.773C,1,4,47,773C,1,R
1.4.47.773E,1,4,47,773E,1,R
1.4.47.773F,1,4,47,773F,1,R
1.4.47.773G,1,4,47,773G,1,R
1.4.47.773Y,1,4,47,773Y,1,R
1.4.47.773AB,1,4,47,773AB,1,R
1.4.47.865,1,4,47,865,1,R
1.4.47.873,1,4,47,873,1,R
1.4.47.875,1,4,47,875,1,R
1.4.47.877,1,4,47,877,1,R
1.4.47.878,1,4,47,878,1,R
1.4.47.880,1,4,47,880,1,R
1.4.47.883,1,4,47,883,1,R
1.4.47.888,1,4,47,888,1,R
1.4.47.884,1,4,47,884,1,R
1.4.47.895,1,4,47,895,1,R
1.4.47.905,1,4,47,905,1,R
1.4.47.906,1,4,47,906,1,R
1.4.47.908,1,4,47,908,1,R
1.4.47.911,1,4,47,911,1,R
1.4.47.913,1,4,47,913,1,R
1.4.47.916,1,4,47,916,1,R
1.4.47.917,1,4,47,917,1,R
1.4.47.921,1,4,47,921,1,R
1.4.47.1115,1,4,47,1115,1,R
1.4.47.1116,1,4,47,1116,1,R
1.4.47.289,1,4,47,289,1,C
1.4.47.296,1,4,47,296,1,C
1.4.47.299,1,4,47,299,1,C
1.4.47.307,1,4,47,307,1,C
1.4.47.309,1,4,47,309,1,C
1.4.47.313,1,4,47,313,1,C
1.4.47.349,1,4,47,349,1,C
1.4.47.559,1,4,47,559,1,C
1.4.47.567,1,4,47,567,1,C
1.4.47.577,1,4,47,577,1,C
1.4.47.755,1,4,47,755,1,C
1.4.47.870,1,4,47,870,1,C
1.4.47.890,1,4,47,890,1,C
1.4.47.898,1,4,47,898,1,C
1.4.47.899,1,4,47,899,1,C
1.4.47.908,1,4,47,908,1,C
1.4.47.1092,1,4,47,1092,1,C
1.4.47.1093,1,4,47,1093,1,C
1.4.47.1094,1,4,47,1094,1,C
1.4.47.1095,1,4,47,1095,1,C
1.4.47.1103,1,4,47,1103,1,C
1.4.47.1104,1,4,47,1104,1,C
1.4.47.1113,1,4,47,1113,1,C
1.4.47.1114,1,4,47,1114,1,C
1.4.47.1125,1,4,47,1125,1,C
1.4.47.1126,1,4,47,1126,1,C
1.4.47.1140,1,4,47,1140,1,C
1.4.47.292,1,4,47,292,1,D
1.4.47.735,1,4,47,735,1,D
1.4.47.744,1,4,47,744,1,D
1.4.47.922,1,4,47,922,1,D
1.4.20.226,1,4,20,226,1,R
1.4.20.264,1,4,20,264,1,R
1.4.20.265,1,4,20,265,1,R
1.4.45.124,1,4,45,124,1,C
1.4.45.128,1,4,45,128,1,C
1.4.45.135,1,4,45,135,1,C
1.4.45.138,1,4,45,138,1,C
1.4.45.178,1,4,45,178,1,C
1.4.45.113,1,4,45,113,1,R
1.4.45.119,1,4,45,119,1,R
1.4.45.127,1,4,45,127,1,R
1.4.45.132,1,4,45,132,1,R
1.4.15.47,1,4,15,47,1,C
1.4.15.169,1,4,15,169,1,C
1.4.15.30,1,4,15,30,1,R
1.4.15.36,1,4,15,36,1,R
1.4.15.54,1,4,15,54,1,R
1.4.15.55,1,4,15,55,1,R
1.4.15.65,1,4,15,65,1,R
1.4.15.163,1,4,15,163,1,R
1.4.24.83,1,4,24,83,1,C
1.4.24.84,1,4,24,84,1,C
1.4.24.85,1,4,24,85,1,C
1.4.24.86,1,4,24,86,1,C
1.4.24.103,1,4,24,103,1,R
1.4.51.51,1,4,51,51,1,C
1.4.51.71A,1,4,51,71A,1,C
1.4.51.53A,1,4,51,53A,1,C
1.4.51.16,1,4,51,16,1,R
1.4.41.300,1,4,41,300,1,C
1.4.41.305,1,4,41,305,1,C
1.4.41.383A,1,4,41,383A,1,C
1.4.41.393,1,4,41,393,1,C
1.4.41.453,1,4,41,453,1,C
1.4.41.454,1,4,41,454,1,C
1.4.41.458,1,4,41,458,1,C
1.4.41.380,1,4,41,380,1,R
1.4.41.382,1,4,41,382,1,R
1.4.41.385,1,4,41,385,1,R
1.4.41.409,1,4,41,409,1,R
1.4.41.434,1,4,41,434,1,R
1.4.41.435,1,4,41,435,1,R
1.4.41.451,1,4,41,451,1,R
1.4.41.452,1,4,41,452,1,R
1.4.24.83,1,4,24,83,1,C
1.4.24.84,1,4,24,84,1,C
1.4.24.85,1,4,24,85,1,C
1.4.24.86,1,4,24,86,1,C
1.4.24.103,1,4,24,103,1,R
1.4.16.21,1,4,16,21,1,C
1.4.16.34,1,4,16,34,1,C
1.4.16.37,1,4,16,37,1,C
1.4.16.40,1,4,16,40,1,C
1.4.16.42,1,4,16,42,1,C
1.4.16.106,1,4,16,106,1,C
1.4.16.136,1,4,16,136,1,C
1.4.16.141,1,4,16,141,1,C
1.4.16.142,1,4,16,142,1,C
1.4.16.,1,4,16,,1,C
1.4.16.158,1,4,16,158,1,C
1.4.16.159,1,4,16,159,1,C
1.4.16.160,1,4,16,160,1,C
1.4.16.372,1,4,16,372,1,C
1.4.16.375,1,4,16,375,1,C
1.4.16.386,1,4,16,386,1,C
1.4.16.387,1,4,16,387,1,C
1.4.16.389,1,4,16,389,1,C
1.4.16.26,1,4,16,26,1,R
1.4.16.52,1,4,16,52,1,R
1.4.16.57,1,4,16,57,1,R
1.4.16.62,1,4,16,62,1,R
1.4.16.93,1,4,16,93,1,R
1.4.16.94,1,4,16,94,1,R
1.4.16.107,1,4,16,107,1,R
1.4.16.108,1,4,16,108,1,R
1.4.16.119,1,4,16,119,1,R
1.4.16.149,1,4,16,149,1,R
1.4.16.150,1,4,16,150,1,R
1.4.16.151,1,4,16,151,1,R
1.4.16.152,1,4,16,152,1,R
1.4.16.190,1,4,16,190,1,R
1.4.16.359,1,4,16,359,1,R
1.4.16.360,1,4,16,360,1,R
1.4.16.362,1,4,16,362,1,R
1.4.16.447,1,4,16,447,1,R
1.4.16.471,1,4,16,471,1,R
1.4.16.475,1,4,16,475,1,R
1.4.41.300,1,4,41,300,1,C
1.4.41.305,1,4,41,305,1,C
1.4.41.393,1,4,41,393,1,C
1.4.41.453,1,4,41,453,1,C
1.4.41.454,1,4,41,454,1,C
1.4.41.458,1,4,41,458,1,C
1.4.41.380,1,4,41,380,1,R
1.4.41.382,1,4,41,382,1,R
1.4.41.385,1,4,41,385,1,R
1.4.41.409,1,4,41,409,1,R
1.4.41.434,1,4,41,434,1,R
1.4.41.435,1,4,41,435,1,R
1.4.41.451,1,4,41,451,1,R
1.4.41.452,1,4,41,452,1,R
1.4.14.174,1,4,14,174,1,C
1.4.14.197,1,4,14,197,1,C
1.4.14.215,1,4,14,215,1,C
1.4.14.217,1,4,14,217,1,C
1.4.14.386,1,4,14,386,1,C
1.4.14.388,1,4,14,388,1,C
1.4.14.542,1,4,14,542,1,C
1.4.14.162,1,4,14,162,1,R
1.4.14.164,1,4,14,164,1,R
1.4.14.165,1,4,14,165,1,R
1.4.14.236,1,4,14,236,1,R
1.4.14.373,1,4,14,373,1,R
1.4.14.383,1,4,14,383,1,R
1.4.14.544,1,4,14,544,1,R
1.4.52.41,1,4,52,41,1,R
1.4.45.124,1,4,45,124,1,C
1.4.45.128,1,4,45,128,1,C
1.4.45.135,1,4,45,135,1,C
1.4.45.138,1,4,45,138,1,C
1.4.45.139,1,4,45,139,1,C
1.4.45.113,1,4,45,113,1,R
1.4.45.119,1,4,45,119,1,R
1.4.45.127,1,4,45,127,1,R
1.4.45.132,1,4,45,132,1,R
1.4.51.4,1,4,51,4,2,R
1.4.51.6A,1,4,51,6A,2,R
