CODLOC,LOCALIDAD,CODIGO,NUMVIV,CODDIST,CODINT
2,La Pascana-San Martín,1,28,3,1
4,Las Rocas,1,159,4,1
5,Yumina,6,209,4,6
6,San Antonio,3,212,5,3
7,Los Pinos,5,21,4,5
8,Yanayaco,3,75,6,3
9,Cerrillo,4,156,6,4
10,Alcosa-Pajonal-El Mirador,1,155,7,1
11,P.T. Yarabamba,5,143,5,5
12,P.T. Mollebaya,7,140,7,7
13,P.T. Characato,7,197,6,7
14,San Isidro,4,237,7,4
15,Señor de los Milagros,2,36,7,2
16,Santa Ana,6,82,7,6
17,Chapi Ladrillerias,3,132,7,3
18,Machahuaya-Ampl. Santa Ana-Rosa de Santa Maria,5,168,7,5
19,Gustavo Mohme,11,836,6,11
20,Villa Don Fabio,19,59,6,19
21,San Francisco,8,221,6,8
22,Asovich,21,269,6,21
23,28 de Julio,9,124,6,9
24,Jorge Chávez,96,704,1,96
25,Cerro San Cosme,10,120,6,10
26,Ampliación San Francisco,20,90,6,20
27,Ampliación Characato,14,530,6,14
28,Cesar Vallejo,80,338,1,80
29,15 de Agosto,95,817,1,95
30,Balcones de Umapalca,23,112,6,23
31,Nuevo Characato,12,274,6,12
32,Miguel Grau Zona A,100,1518,1,100
33,Villa Los Sauces y Angeles Negros,97,72,1,97
34,Villa Jesús,35,56,1,35
35,Sr. de los Milagros,40,212,1,40
36,Miguel Grau Zona D,104,995,1,104
37,Porvenir de Jesús,34,104,1,34
38,Balneario de Jesús,32,175,1,32
39,Miguel Grau Zona B,99,1662,1,99
40,Ayo,1,219,8,1
41,Utme,2,27,8,2
42,Acho,3,86,8,3
43,Villa Belén,98,46,1,98
44,Miguel Grau Zona C,105,522,1,105
45,Villa Pacifico,102,40,1,102
46,Hijos de Grau-Alameda Chorrillos,101,17,1,101
47,Anta-Cilco,4,33,8,4
48,Villa Miguel Grau,106,52,1,106
49,29 de Agosto-San Miguel Grau,103,60,1,103
50,Alexander Von Humboltd,107,96,1,107
51,Villa Ecológica-San Antonio,99A,24,1,99
52,Rancheria-Laderas,1,38,9,
53,San Basilio-Cujan,8,66,9,
54,Generalísimo San Martín,37,2022,10,
55,Subna,5,29,8,
56,Santa Rosa,38,1699,10,
57,Buena Vista,15,273,10,
58,Ampliación Atalaya,13A,239,10,
59,Jerusalén,36,535,10,
60,PP. JJ. Las Rocas,14A,44,10,
61,La Rinconada-Villa María del Triunfo,16,134,10,
62,Los Balcones,12,113,10,
