CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
15 9   1000180000000025,45,15 9   145,000000007411,1
15 9   1000180000000025,62,15 9   162,000000007412,1
15 9   1000180000000025,123,15 9   1123,000000007413,1
15 20  1000090000000022,20,15 20  120,000000007726,1
15 20  1000090000000022,22,15 20  122,000000007727,1
15 20  1000090000000022,73,15 20  173,000000007728,1
15 21  1000090000000035,10,15 21  110,000000007742,1
15 21  1000090000000035,37,15 21  137,000000007743,1
15 21  1000090000000035,38,15 21  138,000000007744,1
15 21  1000090000000035,58,15 21  158,000000007745,1
15 21  1000090000000035,59,15 21  159,000000007746,1
15 21  1000090000000035,63,15 21  163,000000007747,1
15 21  1000090000000035,72,15 21  172,000000007748,1
15 21  1000090000000035,75,15 21  175,000000007749,1
15 21  1000090000000035,107,15 21  1107,000000007750,1
15 21  1000090000000035,149,15 21  1149,000000007751,1
15 21  1000090000000035,150,15 21  1150,000000007752,1
15 21  1000090000000035,167,15 21  1167,000000007753,1
15 21  1000090000000035,168,15 21  1168,000000007754,1
15 21  1000090000000035,170,15 21  1170,000000007755,1
15 21  1000090000000035,203,15 21  1203,000000007756,1
15 21  1000090000000035,251,15 21  1251,000000007757,1
15 4   1000020000000045,20,15 4   120,000000008019,1
15 4   1000020000000045,110,15 4   1110,000000008020,1
15 4   1000020000000045,125,15 4   1125,000000008021,1
15 7   1000020000000057,19,15 7   119,000000008059,1
15 7   1000020000000057,25,15 7   125,000000008060,1
15 7   1000020000000057,31,15 7   131,000000008061,1
15 7   1000020000000057,54,15 7   154,000000008062,1
15 7   1000020000000057,64,15 7   164,000000008063,1
15 7   1000020000000057,116,15 7   1116,000000008064,1
15 7   1000020000000057,147,15 7   1147,000000008065,1
15 7   1000020000000057,174,15 7   1174,000000008066,1
15 7   1000020000000057,197,15 7   1197,000000008067,1
15 8   1000020000000054,47,15 8   147,000000008246,1
15 8   1000020000000054,133,15 8   1133,000000008247,1
15 8   1000020000000054,161,15 8   1161,000000008248,1
15 8   1000020000000054,213,15 8   1213,000000008249,1
15 19  1000120000000008,7,15 19  17,000000008300,1
15 19  1000120000000008,10,15 19  110,000000008301,1
15 19  1000120000000008,17,15 19  117,000000008302,1
15 19  1000120000000008,19,15 19  119,000000008303,1
15 19  1000120000000008,28,15 19  128,000000008304,1
15 19  1000120000000008,29,15 19  129,000000008305,1
15 19  1000120000000008,39,15 19  139,000000008306,1
15 19  1000120000000008,56,15 19  156,000000008307,1
15 19  1000120000000008,57,15 19  157,000000008308,1
15 3   1000020000000018,5,15 3   15,000000008330,1
15 14  1000020000000026,1,15 14  11,000000008352,1
15 14  1000020000000026,35,15 14  135,000000008353,1
15 14  1000020000000026,45,15 14  145,000000008354,1
15 14  1000020000000026,87,15 14  187,000000008355,1
15 14  1000020000000026,262,15 14  1262,000000008356,1
15 14  1000020000000026,506,15 14  1506,000000008357,1
1121   1000120000000022,17,1121   117,000000008648,1
1121   1000120000000022,36,1121   136,000000008649,1
1121   1000120000000022,62,1121   162,000000008650,1
1121   1000120000000022,63,1121   163,000000008651,1
1121   1000120000000022,65,1121   165,000000008652,1
1121   1000120000000022,74,1121   174,000000008653,1
1121   1000120000000022,137,1121   1137,000000008654,1
1121   1000120000000022,138,1121   1138,000000008655,1
1121   1000120000000022,140,1121   1140,000000008656,1
1121   1000120000000022,141,1121   1141,000000008657,1
1121   1000120000000022,147,1121   1147,000000008658,1
1121   1000120000000022,148,1121   1148,000000008659,1
1121   1000120000000022,151,1121   1151,000000008660,1
1123   1000130000000027,3,1123   13,000000008714,1
1123   1000130000000027,56,1123   156,000000008715,1
1123   1000130000000027,59,1123   159,000000008716,1
1123   1000130000000027,66,1123   166,000000008717,1
1123   1000130000000027,70,1123   170,000000008718,1
1123   1000130000000027,81,1123   181,000000008719,1
1123   1000130000000027,82,1123   182,000000008720,1
1123   1000130000000027,97,1123   197,000000008721,1
1123   1000130000000027,98,1123   198,000000008722,1
1125   1000180000000013,41,1125   141,000000008749,1
1125   1000180000000013,51,1125   151,000000008750,1
1125   1000180000000013,75,1125   175,000000008751,1
1125   1000180000000013,118,1125   1118,000000008752,1
1125   1000180000000013,137,1125   1137,000000008753,1
1125   1000180000000013,138,1125   1138,000000008754,1
1125   1000180000000013,141,1125   1141,000000008755,1
1125   1000180000000013,147,1125   1147,000000008756,1
1125   1000180000000013,150,1125   1150,000000008757,1
1127   1000180000000023,9,1127   19,000000008880,1
1127   1000180000000023,14,1127   114,000000008881,1
1127   1000180000000023,19,1127   119,000000008882,1
1127   1000180000000023,20,1127   120,000000008883,1
1127   1000180000000023,21,1127   121,000000008884,1
1127   1000180000000023,34,1127   134,000000008885,1
1127   1000180000000023,43,1127   143,000000008886,1
1127   1000180000000023,46,1127   146,000000008887,1
1127   1000180000000023,47,1127   147,000000008888,1
1127   1000180000000023,61,1127   161,000000008889,1
1127   1000180000000023,65,1127   165,000000008890,1
1127   1000180000000023,67,1127   167,000000008891,1
1127   1000180000000023,74,1127   174,000000008892,1
1127   1000180000000023,84,1127   184,000000008893,1
1127   1000180000000023,94,1127   194,000000008894,1
1127   1000180000000023,117,1127   1117,000000008895,1
1127   1000180000000023,118,1127   1118,000000008896,1
1127   1000180000000023,132,1127   1132,000000008897,1
1124   1000090000000027,3,1124   13,000000006653,1
1124   1000090000000027,8,1124   18,000000008937,1
1124   1000090000000027,26,1124   126,000000008938,1
1124   1000090000000027,29,1124   129,000000006620,1
1124   1000090000000027,47,1124   147,000000008939,1
1124   1000090000000027,48,1124   148,000000008940,1
1124   1000090000000027,53,1124   153,000000008941,1
1124   1000090000000027,54,1124   154,000000008942,1
1124   1000090000000027,70,1124   170,000000008943,1
1124   1000090000000027,71,1124   171,000000008944,1
1124   1000090000000027,72,1124   172,000000008945,1
1124   1000090000000027,160,1124   1160,000000008946,1
1124   1000090000000027,166,1124   1166,000000008947,1
1124   1000090000000027,224,1124   1224,000000008948,1
1126   1000060000000010,6,1126   16,000000009051,1
1126   1000060000000010,13,1126   113,000000009052,1
1126   1000060000000010,14,1126   114,000000009053,1
