CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
15 9   1000180000000025,1A,15 9   11A,000000007416,1
15 9   1000180000000025,52,15 9   152,000000007417,1
15 9   1000180000000025,53,15 9   153,000000007418,1
15 9   1000180000000025,54,15 9   154,000000007419,1
15 9   1000180000000025,65,15 9   165,000000007420,1
15 9   1000180000000025,85,15 9   185,000000007421,1
15 9   1000180000000025,105,15 9   1105,000000007422,1
15 9   1000180000000025,111,15 9   1111,000000007423,1
15 9   1000180000000025,113,15 9   1113,000000007424,1
15 9   1000180000000025,114,15 9   1114,000000007425,1
15 9   1000180000000025,115,15 9   1115,000000007426,1
15 9   1000180000000025,117,15 9   1117,000000007427,1
15 9   1000180000000025,121,15 9   1121,000000007428,1
15 9   1000180000000025,122,15 9   1122,000000007429,1
15 20  1000090000000022,1,15 20  11,000000007736,1
15 20  1000090000000022,26,15 20  126,000000007737,1
15 20  1000090000000022,28,15 20  128,000000007738,1
15 20  1000090000000022,36A,15 20  136A,000000007739,1
15 21  1000090000000035,1,15 21  11,000000007768,1
15 21  1000090000000035,2,15 21  12,000000007769,1
15 21  1000090000000035,3,15 21  13,000000007770,1
15 21  1000090000000035,4,15 21  14,000000007771,1
15 21  1000090000000035,5,15 21  15,000000007772,1
15 21  1000090000000035,6,15 21  16,000000007773,1
15 21  1000090000000035,7,15 21  17,000000007774,1
15 21  1000090000000035,8,15 21  18,000000007775,1
15 21  1000090000000035,9,15 21  19,000000007776,1
15 21  1000090000000035,11,15 21  111,000000007777,1
15 21  1000090000000035,12,15 21  112,000000007778,1
15 21  1000090000000035,15,15 21  115,000000007779,1
15 21  1000090000000035,16,15 21  116,000000007780,1
15 21  1000090000000035,18,15 21  118,000000007781,1
15 21  1000090000000035,19,15 21  119,000000007782,1
15 21  1000090000000035,20,15 21  120,000000007783,1
15 21  1000090000000035,21,15 21  121,000000007784,1
15 21  1000090000000035,22,15 21  122,000000007785,1
15 21  1000090000000035,23,15 21  123,000000007786,1
15 21  1000090000000035,24,15 21  124,000000007787,1
15 21  1000090000000035,25,15 21  125,000000007788,1
15 21  1000090000000035,27,15 21  127,000000007789,1
15 21  1000090000000035,30,15 21  130,000000007790,1
15 21  1000090000000035,31,15 21  131,000000007791,1
15 21  1000090000000035,32,15 21  132,000000007792,1
15 21  1000090000000035,33,15 21  133,000000007793,1
15 21  1000090000000035,40,15 21  140,000000007794,1
15 21  1000090000000035,41,15 21  141,000000007795,1
15 21  1000090000000035,42,15 21  142,000000007796,1
15 21  1000090000000035,44,15 21  144,000000007797,1
15 21  1000090000000035,47,15 21  147,000000007798,1
15 21  1000090000000035,48,15 21  148,000000007799,1
15 21  1000090000000035,50,15 21  150,000000007800,1
15 21  1000090000000035,52,15 21  152,000000007801,1
15 21  1000090000000035,53,15 21  153,000000007802,1
15 21  1000090000000035,54,15 21  154,000000007803,1
15 21  1000090000000035,56,15 21  156,000000007804,1
15 23  1000020000000007,2,15 23  12,000000007921,1
15 23  1000020000000007,6,15 23  16,000000007922,1
15 23  1000020000000007,9,15 23  19,000000007923,1
15 23  1000020000000007,13,15 23  113,000000007924,1
15 23  1000020000000007,17,15 23  117,000000007925,1
15 23  1000020000000007,18,15 23  118,000000007926,1
15 23  1000020000000007,19,15 23  119,000000007927,1
15 23  1000020000000007,20,15 23  120,000000007928,1
15 23  1000020000000007,21,15 23  121,000000007929,1
15 23  1000020000000007,22,15 23  122,000000007930,1
15 23  1000020000000007,23,15 23  123,000000007931,1
15 23  1000020000000007,24,15 23  124,000000007932,1
15 23  1000020000000007,25,15 23  125,000000007933,1
15 23  1000020000000007,26,15 23  126,000000007934,1
15 23  1000020000000007,27,15 23  127,000000007935,1
15 23  1000020000000007,28,15 23  128,000000007936,1
15 23  1000020000000007,29,15 23  129,000000007937,1
15 23  1000020000000007,30,15 23  130,000000007938,1
15 23  1000020000000007,31,15 23  131,000000007940,1
15 23  1000020000000007,32,15 23  132,000000007939,1
15 23  1000020000000007,33,15 23  133,000000007941,1
15 23  1000020000000007,34,15 23  134,000000007942,1
15 23  1000020000000007,35,15 23  135,000000007943,1
15 23  1000020000000007,36,15 23  136,000000007944,1
15 23  1000120000000008,37,15 23  137,000000007945,1
15 23  1000120000000008,38,15 23  138,000000007946,1
15 23  1000120000000008,39,15 23  139,000000007947,1
15 23  1000120000000008,40,15 23  140,000000007948,1
15 23  1000120000000008,41,15 23  141,000000007949,1
15 23  1000120000000008,42,15 23  142,000000007950,1
15 23  1000120000000008,43,15 23  143,000000007951,1
15 23  1000120000000008,44,15 23  144,000000007952,1
15 23  1000120000000008,45,15 23  145,000000007953,1
15 23  1000120000000008,46,15 23  146,000000007954,1
15 23  1000120000000008,47,15 23  147,000000007955,1
15 23  1000120000000008,48,15 23  148,000000007956,1
15 23  1000120000000008,49,15 23  149,000000007957,1
15 23  1000120000000008,50,15 23  150,000000007958,1
15 23  1000120000000008,51,15 23  151,000000007959,1
15 23  1000120000000008,52,15 23  152,000000007960,1
15 23  1000120000000008,53,15 23  153,000000007961,1
15 23  1000120000000008,54,15 23  154,000000007962,1
15 23  1000120000000008,55,15 23  155,000000007963,1
15 23  1000120000000008,56,15 23  156,000000007964,1
15 23  1000120000000008,58,15 23  158,000000007965,1
15 23  1000120000000008,59,15 23  159,000000007966,1
15 23  1000120000000008,60,15 23  160,000000007967,1
15 23  1000120000000008,61,15 23  161,000000007968,1
15 23  1000060000000009,62,15 23  162,000000007969,1
