CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
15 20  1000090000000022,15,15 20  115,000000007740,1
15 20  1000090000000022,19,15 20  119,000000007741,1
15 4   1000030000000047,64,15 4   164,000000008043,1
15 4   1000030000000047,89,15 4   189,000000008044,1
15 4   1000030000000047,90,15 4   190,000000008045,1
15 10  1000180000000031,112,15 10  1112,000000008058,1
15 7   1000110000000061,35,15 7   135,000000008116,1
15 7   1000110000000061,36,15 7   136,000000008117,1
15 7   1000110000000061,51A,15 7   151A,000000008118,1
15 7   1000110000000061,65,15 7   165,000000008119,1
15 7   1000110000000061,86A,15 7   186A,000000008120,1
15 7   1000110000000061,87,15 7   187,000000008121,1
15 7   1000110000000061,127,15 7   1127,000000008122,1
15 7   1000110000000061,130,15 7   1130,000000008123,1
15 7   1000110000000061,131,15 7   1131,000000008124,1
15 7   1000110000000061,137,15 7   1137,000000008125,1
15 7   1000110000000061,138,15 7   1138,000000008126,1
15 7   1000110000000061,139,15 7   1139,000000008127,1
15 7   1000110000000061,161,15 7   1161,000000008128,1
15 7   1000110000000061,177,15 7   1177,000000008129,1
15 21  1000130000000037,109,15 21  1109,000000008207,1
15 21  1000130000000037,161,15 21  1161,000000008208,1
15 8   1000110000000058,12,15 8   112,000000008293,1
15 8   1000110000000058,69,15 8   169,000000008294,1
15 8   1000110000000058,181,15 8   1181,000000008295,1
15 19  1000090000000010,58,15 19  158,000000008326,1
15 19  1000090000000010,14,15 19  114,000000008327,1
15 19  1000090000000010,42,15 19  142,000000008328,1
15 19  1000090000000010,43,15 19  143,000000008329,1
15 3   1000030000000020,4,15 3   14,000000008349,1
15 3   1000030000000020,10,15 3   110,000000008350,1
15 3   1000030000000020,64,15 3   164,000000008351,1
15 14  1000030000000027,95,15 14  195,000000008502,1
15 14  1000030000000027,304,15 14  1304,000000008503,1
1121   1000150000000023,106,1121   1106,000000008681,1
1123   1000090000000029,112,1123   1112,000000008747,1
1123   1000090000000029,132,1123   1132,000000008748,1
1125   1000080000000015,68,1125   168,000000008843,1
1127   1000080000000024,8,1127   18,000000008931,1
1127   1000080000000024,112,1127   1112,000000008932,1
1127   1000080000000024,113,1127   1113,000000008933,1
1127   1000080000000024,120,1127   1120,000000008934,1
1127   1000080000000024,125,1127   1125,000000008935,1
1127   1000080000000024,131,1127   1131,000000008936,1
1124   1000130000000029,1,1124   11,000000009049,1
1124   1000130000000029,100,1124   1100,000000009050,1
1126   1000080000000012,52,1126   152,000000009078,1
1126   1000080000000012,57,1126   157,000000009079,1
1171   1000180000000024,72,1171   172,000000009146,1
1176   1000120000000051,87,1176   187,000000009162,1
1176   1000120000000051,110,1176   1110,000000009163,1
1285   1000160000000027,4,1285   14,000000009237,1
1285   1000160000000027,53,1285   153,000000009238,1
1285   1000160000000027,54,1285   154,000000009239,1
1285   1000160000000027,55,1285   155,000000009240,1
1285   1000160000000027,60,1285   160,000000009241,1
1285   1000160000000027,84,1285   184,000000009242,1
1285   1000160000000027,115,1285   1115,000000009243,1
1283   1000080000000035,32,1283   132,000000009349,1
1283   1000080000000035,46,1283   146,000000009350,1
1283   1000080000000035,47,1283   147,000000009351,1
15 11  1000100000000053,117,15 11  1117,000000009848,1
15 11  1000180000000054,209,15 11  1209,000000009980,1
15 11  1000070000000055,305,15 11  1305,000000010113,1
15 11  1000080000000056,738,15 11  1738,000000010246,1
53 3   1000360000000012,22,53 3   122,000000011210,1
53 3   1000360000000012,26,53 3   126,000000011211,1
53 1   1000360000000038,1,53 1   11,000000011296,1
53 1   1000360000000038,2,53 1   12,000000011297,1
53 1   1000360000000038,27,53 1   127,000000011298,1
53 1   1000360000000038,38,53 1   138,000000011299,1
53 1   1000360000000038,68,53 1   168,000000011300,1
53 1   1000360000000038,69,53 1   169,000000011301,1
53 1   1000360000000038,209,53 1   1209,000000011302,1
53 1   1000360000000038,212,53 1   1212,000000011303,1
53 1   1000360000000038,216,53 1   1216,000000011304,1
113107 1000340000000022,72,113107 172,000000011632,1
11395  1000340000000177,176,11395  1176,000000012264,1
11395  1000340000000177,283,11395  1283,000000012265,1
11395  1000340000000177,336,11395  1336,000000012266,1
11395  1000340000000177,369,11395  1369,000000012267,1
11395  1000340000000177,389,11395  1389,000000012268,1
11395  1000340000000177,390,11395  1390,000000012269,1
11395  1000340000000177,606,11395  1606,000000012270,1
11395  1000340000000177,609,11395  1609,000000012271,1
11395  1000340000000177,626,11395  1626,000000012272,1
113100 1000160000000361,175,113100 1175,000000012417,1
113104 1000200000000195,21,113104 121,000000012540,1
113104 1000200000000195,95,113104 195,000000012541,1
113104 1000200000000195,151,113104 1151,000000012542,1
113104 1000200000000195,152,113104 1152,000000012543,1
113104 1000200000000195,153,113104 1153,000000012544,1
113104 1000200000000195,154,113104 1154,000000012545,1
113104 1000200000000195,185,113104 1185,000000012546,1
113104 1000200000000195,186,113104 1186,000000012547,1
113100 1000090000000365,864,113100 1864,000000012720,1
113105 1000300000000114,237,113105 1237,000000012951,1
113105 1000300000000114,273,113105 1273,000000012952,1
113104 1000090000000199,465,113104 1465,000000013840,1
11380  1000300000000021,131,11380  1131,000000014126,1
11380  1000300000000021,314,11380  1314,000000014127,1
11380  1000300000000021,315,11380  1315,000000014128,1
11380  1000300000000021,316,11380  1316,000000014129,1
11380  1000300000000021,317,11380  1317,000000014130,1
1171   2000050000000025,66,1171   266,000000003739,1
1171   2000050000000025,72,1171   272,000000009146,1
1176   2000080000000034,87,1176   287,000000009162,1
1176   2000080000000034,110,1176   2110,000000009163,1
1283   2000020000000023,27,1283   227,000000000076,1
1283   2000020000000023,32,1283   232,000000009349,1
1283   2000020000000023,38,1283   238,000000009279,1
1283   2000020000000023,39,1283   239,000000009280,1
1283   2000020000000023,46,1283   246,000000009350,1
1283   2000020000000023,97,1283   297,000000009295,1
1123   2000070000000020,82,1123   282,000000008720,1
1123   2000070000000020,111,1123   2111,000000008741,1
1123   2000070000000020,132,1123   2132,000000008748,1
1124   2000060000000017,1,1124   21,000000009049,1
1124   2000060000000017,100,1124   2100,000000009050,1
1127   2000120000000027,18,1127   218,000000008908,1
1127   2000120000000027,113,1127   2113,000000008933,1
1127   2000120000000027,120,1127   2120,000000008934,1
1127   2000120000000027,125,1127   2125,000000008935,1
1127   2000120000000027,131,1127   2131,000000008936,1
11335  1000250000000013,27,11335  127,000000014248,1
1211   1000020000000011,32,1211   132,000000014427,1
1211   1000020000000011,32A,1211   132A,000000014428,1
11396  1000270000000188,163,11396  1163,000000014693,1
11396  1000270000000188,534,11396  1534,000000014694,1
11396  1000270000000188,573,11396  1573,000000014695,1
13 34  1000390000000042,16,13 34  116,000000027032,1
13 37  1000030000000080,30,13 37  130,000000027238,1
13 37  1000030000000080,54,13 37  154,000000027239,1
13 37  1000030000000080,104,13 37  1104,000000027240,1
13 37  1000030000000080,110,13 37  1110,000000027241,1
13 37  1000030000000080,112,13 37  1112,000000027242,1
13 37  1000030000000080,335,13 37  1335,000000027243,1
13 37  1000030000000080,337,13 37  1337,000000027244,1
13 37  1000030000000080,351,13 37  1351,000000027245,1
13 37  1000030000000080,390,13 37  1390,000000027246,1
13 37  1000030000000080,394,13 37  1394,000000027247,1
13 40  1000060000000075,71,13 40  171,000000027323,1
13 40  1000060000000075,88,13 40  188,000000027324,1
13 46  1000030000000023,27,13 46  127,000000027355,1
13 46  1000030000000023,31,13 46  131,000000027356,1
13 49  1000200000000051,82,13 49  182,000000027573,1
13 49  1000200000000051,87,13 49  187,000000027574,1
13 49  1000200000000051,88,13 49  188,000000027575,1
13 49  1000200000000051,352,13 49  1352,000000027576,1
13 70  1000520000000085,1,13 70  11,000000027772,1
13 70  1000520000000085,34,13 70  134,000000027773,1
13 70  1000520000000085,35,13 70  135,000000027774,1
13 70  1000520000000085,299,13 70  1299,000000027775,1
13 47  1000500000000029,43,13 47  143,000000027814,1
13 74  1000570000000107,66,13 74  166,000000027915,1
13 74  1000570000000107,160,13 74  1160,000000027916,1
13 74  1000570000000107,161,13 74  1161,000000027917,1
13 74  1000570000000107,171,13 74  1171,000000027918,1
13 74  1000570000000107,189,13 74  1189,000000027919,1
13 74  1000570000000107,192,13 74  1192,000000027920,1
13 74  1000570000000107,196,13 74  1196,000000027921,1
13 74  1000570000000107,202,13 74  1202,000000027922,1
13 74  1000570000000107,203,13 74  1203,000000027923,1
13 74  1000570000000107,277,13 74  1277,000000027924,1
13 74  1000570000000107,301,13 74  1301,000000027925,1
13 77  1000200000000037,68,13 77  168,000000028032,1
13 77  1000200000000037,69,13 77  169,000000028033,1
13 36  1000570000000185,461,13 36  1461,000000028268,1
13 36  1000570000000185,531,13 36  1531,000000028269,1
13 36  1000570000000185,551,13 36  1551,000000028270,1
13 36  1000570000000185,638,13 36  1638,000000028271,1
13 36  1000570000000185,651,13 36  1651,000000028272,1
13 36  1000570000000185,666,13 36  1666,000000028273,1
13 71  1000520000000091,437,13 71  1437,000000028447,1
13 71  1000520000000091,438,13 71  1438,000000028448,1
13 39  1000060000000296,2,13 39  12,000000028540,1
13 39  1000060000000296,3,13 39  13,000000028541,1
13 39  1000060000000296,49,13 39  149,000000028542,1
13 39  1000060000000296,51,13 39  151,000000028543,1
13 39  1000060000000296,52,13 39  152,000000028544,1
13 39  1000060000000296,53,13 39  153,000000028545,1
13 39  1000060000000296,54,13 39  154,000000028546,1
