CODCNSLDD,CODIGO,SEEKVIV,CODVIV,CICLO
15 9   1000180000000025,109,15 9   1109,000000007414,1
15 9   1000180000000025,112,15 9   1112,000000007415,1
15 20  1000090000000022,35,15 20  135,000000007729,1
15 20  1000090000000022,39,15 20  139,000000007730,1
15 20  1000090000000022,41,15 20  141,000000007731,1
15 20  1000090000000022,42,15 20  142,000000007732,1
15 20  1000090000000022,53,15 20  153,000000007733,1
15 20  1000090000000022,85,15 20  185,000000007734,1
15 20  1000090000000022,87,15 20  187,000000007735,1
15 21  1000090000000035,51,15 21  151,000000007758,1
15 21  1000090000000035,69,15 21  169,000000007759,1
15 21  1000090000000035,73,15 21  173,000000007760,1
15 21  1000090000000035,83,15 21  183,000000007761,1
15 21  1000090000000035,110,15 21  1110,000000007762,1
15 21  1000090000000035,141,15 21  1141,000000007763,1
15 21  1000090000000035,156,15 21  1156,000000007764,1
15 21  1000090000000035,171,15 21  1171,000000007765,1
15 21  1000090000000035,234,15 21  1234,000000007766,1
15 21  1000090000000035,265,15 21  1265,000000007767,1
15 4   1000020000000045,1,15 4   11,000000008022,1
15 4   1000020000000045,6,15 4   16,000000008023,1
15 4   1000020000000045,72,15 4   172,000000008024,1
15 4   1000020000000045,79,15 4   179,000000008025,1
15 4   1000020000000045,98,15 4   198,000000008026,1
15 4   1000020000000045,142,15 4   1142,000000008027,1
15 10  1000180000000031,43,15 10  143,000000008048,1
15 7   1000200000000058,1,15 7   11,000000008068,1
15 7   1000200000000058,4,15 7   14,000000008070,1
15 7   1000200000000058,14,15 7   114,000000008071,1
15 7   1000200000000058,17,15 7   117,000000008072,1
15 7   1000200000000058,24,15 7   124,000000008073,1
15 7   1000200000000058,46,15 7   146,000000008074,1
15 7   1000200000000058,80,15 7   180,000000008075,1
15 7   1000200000000058,81,15 7   181,000000008076,1
15 7   1000200000000058,104,15 7   1104,000000008077,1
15 7   1000200000000058,118,15 7   1118,000000008078,1
15 7   1000200000000058,126,15 7   1126,000000008079,1
15 7   1000200000000058,128,15 7   1128,000000008080,1
15 7   1000200000000058,150,15 7   1150,000000008081,1
15 7   1000200000000058,171,15 7   1171,000000008082,1
15 7   1000200000000058,195,15 7   1195,000000008083,1
15 8   1000020000000054,33,15 8   133,000000008250,1
15 8   1000020000000054,34,15 8   134,000000008251,1
15 8   1000020000000054,61,15 8   161,000000008252,1
15 8   1000020000000054,76,15 8   176,000000008253,1
15 8   1000020000000054,176,15 8   1176,000000008254,1
15 8   1000020000000054,200,15 8   1200,000000008255,1
15 8   1000020000000054,210,15 8   1210,000000008256,1
15 8   1000020000000054,212,15 8   1212,000000008257,1
15 19  1000060000000009,1,15 19  11,000000008309,1
15 19  1000060000000009,2,15 19  12,000000008310,1
15 19  1000060000000009,3,15 19  13,000000008311,1
15 19  1000060000000009,31,15 19  131,000000008312,1
15 3   1000020000000018,69,15 3   169,000000008331,1
15 3   1000020000000018,72,15 3   172,000000008332,1
15 14  1000020000000026,210,15 14  1210,000000008358,1
1121   1000120000000022,32,1121   132,000000008661,1
1121   1000120000000022,58,1121   158,000000008662,1
1121   1000120000000022,84,1121   184,000000008663,1
1123   1000130000000027,49,1123   149,000000008723,1
1123   1000130000000027,50,1123   150,000000008724,1
1123   1000130000000027,67,1123   167,000000008725,1
1123   1000130000000027,86,1123   186,000000008726,1
1123   1000130000000027,88,1123   188,000000008727,1
1125   1000180000000013,149,1125   1149,000000008758,1
1125   1000180000000013,158,1125   1158,000000008759,1
1127   1000180000000023,1,1127   11,000000008898,1
1127   1000180000000023,2,1127   12,000000008899,1
1127   1000180000000023,3,1127   13,000000008900,1
1127   1000180000000023,13,1127   113,000000008901,1
1127   1000180000000023,17,1127   117,000000008902,1
1127   1000180000000023,63,1127   163,000000008903,1
1127   1000180000000023,64,1127   164,000000008904,1
1127   1000180000000023,68,1127   168,000000008905,1
1127   1000180000000023,73,1127   173,000000008906,1
1127   1000180000000023,79,1127   179,000000008907,1
1124   1000090000000027,16,1124   116,000000008949,1
1124   1000090000000027,41,1124   141,000000008950,1
1126   1000070000000011,29,1126   129,000000009064,1
1126   1000070000000011,55,1126   155,000000009065,1
1126   1000070000000011,62,1126   162,000000009066,1
1126   1000070000000011,70,1126   170,000000009067,1
1122   1000120000000006,26,1122   126,000000009083,1
1176   1000120000000051,43,1176   143,000000009158,1
1176   1000120000000051,63,1176   163,000000006591,1
1176   1000120000000051,89,1176   189,000000006597,1
1176   1000120000000051,92,1176   192,000000009159,1
1176   1000120000000051,109,1176   1109,000000009160,1
1176   1000120000000051,202,1176   1202,000000009161,1
1285   1000070000000025,8,1285   18,000000009201,1
1285   1000070000000025,59,1285   159,000000009202,1
1285   1000070000000025,70,1285   170,000000009203,1
1285   1000070000000025,132,1285   1132,000000009204,1
1285   1000070000000025,133,1285   1133,000000009205,1
1283   1000170000000031,16,1283   116,000000009261,1
1283   1000170000000031,25,1283   125,000000004433,1
1283   1000170000000031,188,1283   1188,000000004434,1
15 12  1000180000000021,25,15 12  125,000000009670,1
15 12  1000090000000025,173,15 12  1173,000000009752,1
15 11  1000100000000053,32,15 11  132,000000009843,1
15 11  1000100000000053,41,15 11  141,000000009844,1
15 11  1000100000000053,72,15 11  172,000000009845,1
15 11  1000100000000053,79,15 11  179,000000009846,1
15 11  1000100000000053,85,15 11  185,000000009847,1
15 11  1000180000000054,146,15 11  1146,000000009976,1
15 11  1000180000000054,185,15 11  1185,000000009977,1
15 11  1000180000000054,253,15 11  1253,000000009978,1
15 11  1000180000000054,323,15 11  1323,000000009979,1
15 11  1000070000000055,369,15 11  1369,000000010109,1
15 11  1000070000000055,371,15 11  1371,000000010110,1
15 11  1000070000000055,393,15 11  1393,000000010111,1
15 11  1000070000000055,461,15 11  1461,000000010112,1
15 11  1000080000000056,517,15 11  1517,000000010241,1
15 11  1000080000000056,518,15 11  1518,000000010242,1
15 11  1000080000000056,540,15 11  1540,000000010243,1
15 11  1000080000000056,551,15 11  1551,000000010244,1
15 11  1000080000000056,680,15 11  1680,000000010245,1
11332  1000300000000010,8,11332  18,000000011369,1
11332  1000300000000010,41,11332  141,000000011370,1
11332  1000300000000010,43,11332  143,000000011371,1
11397  1000320000000016,41,11397  141,000000011401,1
11397  1000320000000016,51,11397  151,000000011402,1
11397  1000320000000016,52,11397  152,000000011403,1
11397  1000320000000016,53,11397  153,000000011404,1
11397  1000320000000016,54,11397  154,000000011405,1
11397  1000320000000016,55,11397  155,000000011406,1
11397  1000320000000016,59,11397  159,000000011407,1
11334  1000310000000016,4,11334  14,000000011440,1
11334  1000310000000016,33,11334  133,000000011441,1
11334  1000310000000016,41,11334  141,000000011442,1
11334  1000310000000016,91,11334  191,000000011443,1
11398  1000300000000016,25,11398  125,000000011496,1
11398  1000300000000016,27,11398  127,000000011497,1
11398  1000300000000016,43,11398  143,000000011498,1
113103 1000310000000011,51,113103 151,000000011524,1
113103 1000310000000011,52,113103 152,000000011525,1
113102 1000310000000014,6,113102 16,000000011562,1
113102 1000310000000014,8,113102 18,000000011563,1
113102 1000310000000014,19,113102 119,000000011564,1
113101 1000310000000007,13,113101 113,000000011570,1
113101 1000310000000007,14,113101 114,000000011571,1
113107 1000340000000022,9,113107 19,000000011614,1
113107 1000340000000022,28,113107 128,000000011615,1
113107 1000340000000022,37,113107 137,000000011616,1
113107 1000340000000022,44,113107 144,000000011617,1
113107 1000340000000022,45,113107 145,000000011618,1
113107 1000340000000022,48,113107 148,000000011619,1
11395  1000310000000174,7,11395  17,000000011886,1
11395  1000310000000174,8,11395  18,000000011887,1
11395  1000310000000174,28,11395  128,000000011889,1
11395  1000310000000174,42,11395  142,000000011890,1
11395  1000310000000174,47,11395  147,000000011891,1
11395  1000310000000174,48,11395  148,000000011892,1
11395  1000310000000174,54,11395  154,000000011893,1
11395  1000310000000174,59,11395  159,000000011894,1
11395  1000310000000174,60,11395  160,000000011895,1
11395  1000310000000174,77,11395  177,000000011896,1
11395  1000310000000174,78,11395  178,000000011897,1
11395  1000310000000174,80,11395  180,000000011898,1
11395  1000310000000174,82,11395  182,000000011899,1
11395  1000310000000174,90,11395  190,000000011900,1
11395  1000310000000174,106,11395  1106,000000011901,1
11395  1000310000000174,107,11395  1107,000000011902,1
11395  1000310000000174,111,11395  1111,000000011903,1
11395  1000310000000174,112,11395  1112,000000011904,1
11395  1000310000000174,120,11395  1120,000000011905,1
11395  1000310000000174,131,11395  1131,000000011906,1
11395  1000310000000174,132,11395  1132,000000011907,1
11395  1000310000000174,133,11395  1133,000000011908,1
11395  1000310000000174,138,11395  1138,000000011909,1
11395  1000310000000174,139,11395  1139,000000011910,1
11395  1000310000000174,158,11395  1158,000000011911,1
11395  1000310000000174,160,11395  1160,000000011912,1
11395  1000310000000174,161,11395  1161,000000011913,1
11395  1000310000000174,162,11395  1162,000000011914,1
11395  1000310000000174,164,11395  1164,000000011915,1
11395  1000310000000174,168,11395  1168,000000011916,1
11395  1000310000000174,174,11395  1174,000000011917,1
11395  1000310000000174,175,11395  1175,000000011918,1
11395  1000310000000174,177,11395  1177,000000011919,1
11395  1000310000000174,179,11395  1179,000000011920,1
11395  1000310000000174,180,11395  1180,000000011921,1
11395  1000310000000174,181,11395  1181,000000011922,1
11395  1000310000000174,182,11395  1182,000000011923,1
11395  1000310000000174,183,11395  1183,000000011924,1
11395  1000310000000174,184,11395  1184,000000011925,1
11395  1000310000000174,187,11395  1187,000000011926,1
11395  1000310000000174,189,11395  1189,000000011927,1
11395  1000310000000174,192,11395  1192,000000011928,1
11395  1000310000000174,194,11395  1194,000000011929,1
11395  1000310000000174,196,11395  1196,000000011930,1
11395  1000310000000174,198,11395  1198,000000011931,1
11395  1000310000000174,202,11395  1202,000000011932,1
11395  1000310000000174,204,11395  1204,000000011933,1
11395  1000310000000174,206,11395  1206,000000011934,1
11395  1000310000000174,207,11395  1207,000000011935,1
11395  1000310000000174,216,11395  1216,000000011936,1
11395  1000310000000174,218,11395  1218,000000011937,1
11395  1000310000000174,223,11395  1223,000000011938,1
11395  1000310000000174,224,11395  1224,000000011939,1
11395  1000310000000174,225,11395  1225,000000011940,1
11395  1000310000000174,230,11395  1230,000000011941,1
11395  1000310000000174,234,11395  1234,000000011942,1
11395  1000310000000174,237,11395  1237,000000011943,1
11395  1000310000000174,244,11395  1244,000000011944,1
11395  1000310000000174,245,11395  1245,000000011945,1
11395  1000310000000174,246,11395  1246,000000011946,1
11395  1000310000000174,247,11395  1247,000000011947,1
11395  1000310000000174,250,11395  1250,000000011948,1
11395  1000310000000174,251,11395  1251,000000011949,1
11395  1000310000000174,256,11395  1256,000000011950,1
11395  1000310000000174,257,11395  1257,000000011951,1
11395  1000310000000174,258,11395  1258,000000011952,1
11395  1000310000000174,260,11395  1260,000000011953,1
11395  1000310000000174,261,11395  1261,000000011954,1
11395  1000310000000174,262,11395  1262,000000011955,1
11395  1000310000000174,263,11395  1263,000000011956,1
11395  1000310000000174,266,11395  1266,000000011957,1
11395  1000310000000174,267,11395  1267,000000011958,1
11395  1000310000000174,269,11395  1269,000000011959,1
11395  1000310000000174,274,11395  1274,000000011960,1
11395  1000310000000174,276,11395  1276,000000011961,1
11395  1000310000000174,277,11395  1277,000000011962,1
11395  1000310000000174,285,11395  1285,000000011963,1
11395  1000310000000174,288,11395  1288,000000011964,1
11395  1000320000000175,293,11395  1293,000000011965,1
11395  1000320000000175,294,11395  1294,000000011966,1
11395  1000320000000175,295,11395  1295,000000011967,1
11395  1000320000000175,298,11395  1298,000000011968,1
11395  1000320000000175,299,11395  1299,000000011969,1
11395  1000320000000175,307,11395  1307,000000011970,1
11395  1000320000000175,309,11395  1309,000000011971,1
11395  1000320000000175,312,11395  1312,000000011972,1
11395  1000320000000175,313,11395  1313,000000011973,1
11395  1000320000000175,315,11395  1315,000000011974,1
11395  1000320000000175,316,11395  1316,000000011975,1
11395  1000320000000175,317,11395  1317,000000011976,1
11395  1000320000000175,328,11395  1328,000000011977,1
11395  1000320000000175,329,11395  1329,000000011978,1
11395  1000320000000175,330,11395  1330,000000011979,1
11395  1000320000000175,333,11395  1333,000000011980,1
11395  1000320000000175,334,11395  1334,000000011981,1
11395  1000320000000175,335,11395  1335,000000011982,1
11395  1000320000000175,339,11395  1339,000000011983,1
11395  1000320000000175,343,11395  1343,000000011984,1
11395  1000320000000175,348,11395  1348,000000011985,1
11395  1000320000000175,354,11395  1354,000000011986,1
11395  1000320000000175,356,11395  1356,000000011987,1
11395  1000320000000175,358,11395  1358,000000011988,1
11395  1000320000000175,362,11395  1362,000000011989,1
11395  1000320000000175,363,11395  1363,000000011990,1
11395  1000320000000175,376,11395  1376,000000011991,1
11395  1000320000000175,379,11395  1379,000000011992,1
11395  1000320000000175,380,11395  1380,000000011993,1
11395  1000320000000175,381,11395  1381,000000011994,1
11395  1000320000000175,383,11395  1383,000000011995,1
11395  1000320000000175,384,11395  1384,000000011996,1
11395  1000320000000175,385,11395  1385,000000011997,1
11395  1000320000000175,386,11395  1386,000000011998,1
11395  1000320000000175,387,11395  1387,000000011999,1
11395  1000320000000175,391,11395  1391,000000012000,1
11395  1000320000000175,392,11395  1392,000000012001,1
11395  1000320000000175,394,11395  1394,000000012002,1
11395  1000320000000175,395,11395  1395,000000012003,1
11395  1000320000000175,396,11395  1396,000000012004,1
11395  1000320000000175,397,11395  1397,000000012005,1
11395  1000320000000175,398,11395  1398,000000012006,1
11395  1000320000000175,399,11395  1399,000000012007,1
